🇨🇳 央视,#genre#
CCTV-2,http://xxy.x3322.net:4022/rtp/239.77.0.31:5146
CCTV-2,http://xxy.x3322.net:4022/rtp/239.77.1.158:5146
CCTV-2,http://xxy.x3322.net:4022/rtp/239.77.1.28:5146
CCTV-3,http://www.ye28.eu.org:7777/udp/239.77.0.169:5146
CCTV-3,http://www.ye28.eu.org:7777/udp/239.77.0.175:5146
CCTV-3,http://www.ye28.eu.org:7777/udp/239.77.0.32:5146
CCTV-3,http://xxy.x3322.net:4022/rtp/239.77.0.169:5146
CCTV-3,http://xxy.x3322.net:4022/rtp/239.77.0.175:5146
CCTV-3,http://xxy.x3322.net:4022/rtp/239.77.0.32:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.253.43.120:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.253.43.121:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.77.0.33:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.77.0.78:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.77.1.163:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.77.1.166:5146
CCTV-4,http://www.ye28.eu.org:7777/udp/239.77.1.41:5146
CCTV-4,http://xxy.x3322.net:4022/rtp/239.77.0.33:5146
CCTV-4,http://xxy.x3322.net:4022/rtp/239.77.0.78:5146
CCTV-4,http://xxy.x3322.net:4022/rtp/239.77.1.163:5146
CCTV-4,http://xxy.x3322.net:4022/rtp/239.77.1.166:5146
CCTV-4,http://xxy.x3322.net:4022/rtp/239.77.1.41:5146
CCTV-4K,http://www.ye28.eu.org:7777/udp/239.77.0.174:5146
CCTV-4K,http://www.ye28.eu.org:7777/udp/239.77.0.194:5146
CCTV-4K,http://www.ye28.eu.org:7777/udp/239.77.1.180:5146
CCTV-4K,http://xxy.x3322.net:4022/rtp/239.77.0.174:5146
CCTV-4K,http://xxy.x3322.net:4022/rtp/239.77.0.194:5146
CCTV-4K,http://xxy.x3322.net:4022/rtp/239.77.1.180:5146
CCTV-5+,http://www.ye28.eu.org:7777/udp/239.77.0.87:5146
CCTV-5+,http://www.ye28.eu.org:7777/udp/239.77.1.146:5146
CCTV-5+,http://www.ye28.eu.org:7777/udp/239.77.1.147:5146
CCTV-5+,http://www.ye28.eu.org:7777/udp/239.77.1.31:5146
CCTV-5+,http://xxy.x3322.net:4022/rtp/239.77.0.87:5146
CCTV-5+,http://xxy.x3322.net:4022/rtp/239.77.1.146:5146
CCTV-5+,http://xxy.x3322.net:4022/rtp/239.77.1.147:5146
CCTV-5+,http://xxy.x3322.net:4022/rtp/239.77.1.31:5146
CCTV-5,http://www.ye28.eu.org:7777/udp/239.77.0.170:5146
